provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,break_even_penalty
GLS,30455,1201,149,6.967819653017212,13.26,0.9059117402164862,8.060402684563758,172.36381821104422,3.0
GLS,30457,1189,128,6.068989648841514,10.08,0.8881412952060556,9.2890625,195.91399372825813,2.0
GLS,30459,1169,113,7.274391190340525,9.13,0.8913601368691189,10.345132743362832,160.70073349262336,1.5
GLS,30519,2084,224,13.714884737746763,6.3,0.8886756238003839,9.303571428571429,151.95169626648888,1.5
GLS,30539,1310,145,19.21423828970633,5.29,0.8816793893129771,9.03448275862069,68.1786069397197,3.0
GLS,30559,2040,208,19.484913733542946,8.92,0.8931372549019608,9.807692307692308,104.6963834634882,1.5
GLS,30625,1185,105,8.86389555258122,10.34,0.8919831223628693,11.285714285714286,133.68839839893204,2.0
GLS,30627,774,78,3.3903855235675273,11.43,0.8617571059431525,9.923076923076923,228.29262177404527,3.0
GLS,30629,1080,116,14.669809711755617,12.94,0.9092592592592592,9.310344827586206,73.62058685291225,2.0
GLS,30655,1383,124,4.462508901721823,13.05,0.8633405639913232,11.153225806451612,309.91534817250016,2.0
GLS,30657,1325,127,12.670949194485747,16.66,0.8739622641509434,10.433070866141732,104.56990866766516,2.0
GLS,30659,1138,124,11.3882150903338,14.84,0.8822495606326889,9.17741935483871,99.9278632316949,2.0
GLS,30823,1687,209,12.528872220645557,21.76,0.8565500889152341,8.07177033492823,134.64899077030228,3.0
GLS,30826,1480,214,56.38950461206911,26.25,0.9614864864864865,6.91588785046729,26.24601883243418,3.0
GLS,30827,1331,133,10.610683695060029,22.43,0.873779113448535,10.007518796992482,125.43960768707751,3.0
GLS,30851,1137,95,4.12190647126244,17.37,0.8865435356200527,11.968421052631578,275.8432312637517,0.75
GLS,30853,1083,117,8.711379660258004,18.94,0.8596491228070176,9.256410256410257,124.32014700733694,1.5
GLS,30855,5111,262,58.08159729436245,22.3,0.8741929172373313,19.50763358778626,87.99689123728845,0.75
GLS,30880,2630,305,33.960996603727956,1.58,0.8809885931558935,8.62295081967213,77.44177918828508,1.5
GLS,30890,2471,436,102.53407734275534,23.44,0.9591258599757183,5.66743119266055,24.09930497291973,2.0
GLS,30900,2487,490,173.55971997363926,31.36,0.9557700040209087,5.075510204081633,14.329361676647856,2.0
GLS,30916,2276,308,59.876286869182046,19.31,0.914323374340949,7.3896103896103895,38.01170912572809,2.0
GLS,30926,2421,381,53.8021301528445,20.06,0.9083023543990086,6.354330708661418,44.998218344185815,2.0
GLS,30938,1873,321,153.22446344831192,28.43,0.9087026161238655,5.834890965732087,12.22389661447129,3.0
GLS,30952,1710,259,37.755537878390655,11.4,0.9280701754385965,6.602316602316602,45.291369057112995,2.0
GLS,30966,1619,220,31.832385676522556,6.33,0.9104385423100679,7.359090909090909,50.86015281581821,2.0
GLS,30974,1120,214,53.82702268136371,16.59,0.9553571428571429,5.233644859813084,20.807392722238983,3.0
GLS,30982,1154,209,66.6831619829418,6.34,0.9566724436741768,5.521531100478469,17.305718050610803,3.0
GLS,30989,1172,231,43.13135688268341,16.28,0.9044368600682594,5.073593073593074,27.172806160210097,3.0
GLS,31275,3227,507,129.47251256919432,17.38,0.9383328168577626,6.3648915187376724,24.92420928554535,1.5
GLS,31303,2208,407,112.90680951768702,24.81,0.9248188405797102,5.425061425061425,19.555950694489454,2.0
GLS,31311,1483,326,139.34872865781722,30.96,0.9824679703304113,4.549079754601227,10.642364765606395,5.0
GLS,31319,1985,357,101.18549289373648,11.04,0.9335012594458438,5.560224089635854,19.617436682199273,2.0
GLS,31515,3284,472,125.18180774883541,33.59,0.9238733252131547,6.9576271186440675,26.23384387121979,2.0
GLS,31535,3227,705,357.6158854957556,38.52,0.9668422683607065,4.577304964539007,9.023648363736626,3.0
GLS,31832,2069,440,159.38246951696127,16.88,0.9540840985983567,4.702272727272727,12.981352380035872,3.0
Hermes,30159,4412,207,6.211813374113814,9.13,0.9397098821396193,21.314009661835748,710.2595867393428,0.75
Hermes,30161,2187,80,1.7979843382791898,7.9,0.9391860996799268,27.3375,1216.3620969541528,1.0
Hermes,30163,2318,93,2.603733329707664,6.63,0.9378774805867127,24.9247311827957,890.2601405268547,1.0
Hermes,30165,1888,89,4.951012974183712,5.34,0.944385593220339,21.213483146067414,381.3361043173756,1.0
Hermes,30167,2918,135,5.368928981069905,7.27,0.9482522275531186,21.614814814814814,543.4975970605052,1.0
Hermes,30173,1982,82,4.775461708125837,11.08,0.9455095862764884,24.170731707317074,415.03840280563145,1.5
Hermes,30177,1604,76,3.576189607493106,7.86,0.9532418952618454,21.105263157894736,448.52207965684386,1.5
Hermes,30179,1492,88,8.305970462175056,5.02,0.9638069705093834,16.954545454545453,179.62982252278502,1.5
Hermes,30419,3791,253,23.77191867081394,4.3,0.9649169084674228,14.984189723320158,159.473875562868,1.0
Hermes,30449,2752,147,5.186686836161483,9.65,0.9440406976744186,18.72108843537415,530.5891963272406,1.0
Hermes,30453,1923,127,9.157258958740023,8.55,0.9469578783151326,15.141732283464567,209.99733748542934,1.5
Hermes,30455,1769,152,6.967819653017212,9.92,0.966647823629169,11.638157894736842,253.8814274898728,2.0
Hermes,30457,1718,130,6.068989648841514,13.07,0.9516880093131548,13.215384615384615,283.0784198697624,2.0
Hermes,30459,1718,121,7.274391190340525,11.99,0.9732246798603027,14.198347107438016,236.17096675819244,1.5
Hermes,30519,2920,229,13.714884737746763,13.8,0.9595890410958904,12.751091703056769,212.90736712962934,1.5
Hermes,30539,1846,149,19.21423828970633,16.65,0.9712892741061755,12.389261744966444,96.07458657307066,1.5
Hermes,30559,2928,216,19.484913733542946,14.22,0.9648224043715847,13.555555555555555,150.27010332406542,1.5
