provider,plz,weekly_parcels,n_stops,area_km2,hub_dist_km,b2c_share,parcels_per_stop,parcels_per_km2,schedule_size,schedule_weekdays,schedule_idx,ml_cost_eur,avg_wait_d,max_wait_d,service_penalty_eur
DHL,30459,6561,125,7.274391190340525,1.24,0.9010821521109587,52.488,901.9311483704893,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7001.644343569056,0.0,0.0,0.0
DHL,30519,12645,248,13.714884737746763,5.03,0.8771846579675762,50.98790322580645,921.9909785459462,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,13562.186111790037,0.0,0.0,0.0
DHL,30539,8372,164,19.21423828970633,3.99,0.8373148590539895,51.048780487804876,435.71854755674303,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,9477.277832572632,0.0,0.0,0.0
DHL,30559,12320,224,19.484913733542946,1.93,0.8657467532467532,55.0,632.2840413089092,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,12670.738260552309,0.0,0.0,0.0
DHL,30625,7084,117,8.86389555258122,4.99,0.8975155279503105,60.547008547008545,799.1971428337845,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8243.621539715603,0.0,0.0,0.0
DHL,30627,4809,82,3.3903855235675273,4.61,0.8687876897483885,58.646341463414636,1418.4227624178084,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,5570.080759148582,0.0,0.0,0.0
DHL,30629,5907,124,14.669809711755617,4.28,0.8926697138987641,47.63709677419355,402.6637097594006,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7000.474482562675,0.0,0.0,0.0
DHL,30655,7945,139,4.462508901721823,5.25,0.8917558212712398,57.15827338129496,1780.3886053727501,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8938.04341794529,0.0,0.0,0.0
DHL,30657,9056,140,12.670949194485747,6.56,0.8121687279151943,64.68571428571428,714.7057304863213,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,10095.689379164967,0.0,0.0,0.0
DHL,30659,6829,131,11.3882150903338,7.01,0.878166642260946,52.12977099236641,599.654989463308,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7875.655606051029,0.0,0.0,0.0
DHL,30823,9437,227,12.528872220645557,3.26,0.8945639504079687,41.5726872246696,753.2202287488693,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,10534.552246019997,0.0,0.0,0.0
DHL,30826,8281,239,56.38950461206911,1.44,0.8860041057843255,34.64853556485355,146.8535688860726,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,9662.903026463164,0.0,0.0,0.0
DHL,30827,8048,153,10.610683695060029,3.25,0.8777335984095428,52.60130718954248,758.4808134226896,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8703.588424211048,0.0,0.0,0.0
DHL,30851,6654,97,4.12190647126244,5.02,0.9002103997595431,68.5979381443299,1614.3015486622726,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,7136.098952344345,0.0,0.0,0.0
DHL,30853,7164,132,8.711379660258004,6.98,0.8359854829704076,54.27272727272727,822.372606796456,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,8202.746343443938,0.0,0.0,0.0
DHL,30855,32854,278,59.06346106841505,5.9,0.8623607475497657,118.17985611510791,556.2491497398736,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,33536.81470477988,0.0,0.0,0.0
DHL,30880,16161,360,33.960996603727956,5.11,0.8667161685539261,44.891666666666666,475.8694271718157,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,17694.27622157903,0.0,0.0,0.0
DHL,30890,13989,504,102.53407734275534,4.73,0.897991278861963,27.75595238095238,136.43269011176614,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,16049.247290904019,0.0,0.0,0.0
DHL,30900,14609,590,173.55971997363926,4.94,0.8878088849339448,24.76101694915254,84.17275622603479,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,17217.69303144944,0.0,0.0,0.0
DHL,30916,14499,355,59.876286869182046,11.0,0.8679219256500448,40.84225352112676,242.1492841010244,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,16908.634445810625,0.0,0.0,0.0
DHL,30926,13519,429,53.8021301528445,0.37,0.9038390413492122,31.512820512820515,251.27257901488971,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,14614.850403759548,0.0,0.0,0.0
DHL,30938,12030,355,153.22446344831192,10.53,0.8364921030756443,33.88732394366197,78.51226709668425,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,14730.411022356773,0.0,0.0,0.0
DHL,30952,9709,286,37.755537878390655,5.68,0.8950458337624884,33.94755244755245,257.1543287576082,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,11406.507523933218,0.0,0.0,0.0
DHL,30966,9182,237,31.832385676522556,5.52,0.8939228926159878,38.742616033755276,288.4483774890938,6,"Mon,Tue,Wed,Thu,Fri,Sat",38,10787.50811133629,0.0,0.0,0.0
