window,penalty,share_willing,total_cost_eur,avg_wait_days,cost_savings_pct
1,2.0,0.9,1977116.5677979258,0.0,0.0
1,2.0,1.0,1977116.5677979258,0.0,0.0
1,5.0,0.0,1977116.5677979258,0.0,0.0
1,5.0,0.1,1977116.5677979258,0.0,0.0
1,5.0,0.2,1977116.5677979258,0.0,0.0
1,5.0,0.30000000000000004,1977116.5677979258,0.0,0.0
1,5.0,0.4,1977116.5677979258,0.0,0.0
1,5.0,0.5,1977116.5677979258,0.0,0.0
1,5.0,0.6000000000000001,1977116.5677979258,0.0,0.0
1,5.0,0.7000000000000001,1977116.5677979258,0.0,0.0
1,5.0,0.8,1977116.5677979258,0.0,0.0
1,5.0,0.9,1977116.5677979258,0.0,0.0
1,5.0,1.0,1977116.5677979258,0.0,0.0
2,0.0,0.0,1977116.5677979258,0.0,0.0
2,0.0,0.1,1938687.7312217576,0.04994916068285397,1.9436808735546376
2,0.0,0.2,1900258.8946455894,0.09989832136570793,3.887361747109275
2,0.0,0.30000000000000004,1861830.0580694205,0.14984748204856194,5.831042620663948
2,0.0,0.4,1823401.2214932523,0.19979664273141587,7.774723494218586
2,0.0,0.5,1784972.3849170837,0.24974580341426986,9.718404367773246
2,0.0,0.6000000000000001,1746543.5483409152,0.2996949640971239,11.662085241327896
2,0.0,0.7000000000000001,1708114.711764747,0.3496441247799778,13.605766114882535
2,0.0,0.8,1669685.8751885784,0.39959328546283174,15.549446988437195
2,0.0,0.9,1631257.03861241,0.4495424461456858,17.49312786199184
2,0.0,1.0,1592828.2020362415,0.4994916068285397,19.436808735546492
2,0.1,0.0,1977116.5677979258,0.0,0.0
2,0.1,0.1,1938972.464379572,0.04645078759378159,1.929279438532948
2,0.1,0.2,1900828.3609612184,0.09290157518756317,3.858558877065896
2,0.1,0.30000000000000004,1862684.2575428642,0.13935236278134477,5.787838315598868
2,0.1,0.4,1824540.1541245102,0.18580315037512635,7.717117754131827
2,0.1,0.5,1786396.050706156,0.23225393796890795,9.646397192664798
2,0.1,0.6000000000000001,1748251.9472878024,0.27870472556268955,11.575676631197746
2,0.1,0.7000000000000001,1710107.8438694484,0.3251555131564711,13.504956069730707
2,0.1,0.8,1671963.7404510942,0.3716063007502527,15.434235508263678
2,0.1,0.9,1633819.6370327405,0.4180570883440343,17.363514946796627
2,0.1,1.0,1595675.5336143868,0.4645078759378159,19.292794385329575
2,0.25,0.0,1977116.5677979258,0.0,0.0
2,0.25,0.1,1941901.7762986303,0.03275734353022518,1.7811186286561271
2,0.25,0.2,1906686.9847993348,0.06551468706045036,3.5622372573122543
2,0.25,0.30000000000000004,1871472.1933000393,0.09827203059067556,5.343355885968382
