provider,plz,penalty,share_willing,total_eur,baseline_eur,saving_pct,area_km2,hub_dist_km,n_stops,weekly_parcels,raumtyp_3
DHL,30625,0.0,0.0,8084.182917612831,8084.182917612831,0.0,8.86389555258122,4.99,117,7084,urban
DHL,30627,0.0,0.0,5566.459185356654,5566.459185356654,0.0,3.390385523567528,4.61,82,4809,suburban
DHL,30629,0.0,0.0,6830.019894903581,6830.019894903581,0.0,14.669809711755615,4.28,124,5907,suburban
DHL,30655,0.0,0.0,8770.048460462032,8770.048460462032,0.0,4.462508901721823,5.25,139,7945,suburban
DHL,30657,0.0,0.0,9997.913539537092,9997.913539537092,0.0,12.670949194485749,6.56,140,9056,rural
DHL,30659,0.0,0.0,7841.281218861646,7841.281218861646,0.0,11.3882150903338,7.01,131,6829,suburban
DHL,30823,0.0,0.0,10202.29191336214,10202.29191336214,0.0,12.528872220645557,3.26,227,9437,suburban
DHL,30826,0.0,0.0,9289.171862330428,9289.171862330428,0.0,56.38950461206911,1.44,239,8281,rural
DHL,30827,0.0,0.0,8499.259441991915,8499.259441991915,0.0,10.610683695060027,3.25,153,8048,suburban
DHL,30851,0.0,0.0,7091.396611882496,7091.396611882496,0.0,4.12190647126244,5.02,97,6654,suburban
DHL,30853,0.0,0.0,8087.121413003322,8087.121413003322,0.0,8.711379660258004,6.98,132,7164,suburban
DHL,30855,0.0,0.0,33181.974645551454,33181.974645551454,0.0,59.06346106841505,5.9,278,32854,suburban
DHL,30880,0.0,0.0,17626.17972557684,17626.17972557684,0.0,33.96099660372796,5.11,360,16161,suburban
DHL,30890,0.0,0.0,16098.044263724361,16098.044263724361,0.0,102.53407734275534,4.73,504,13989,rural
DHL,30900,0.0,0.0,17593.529073393336,17593.529073393336,0.0,173.55971997363926,4.94,590,14609,rural
DHL,30916,0.0,0.0,17062.590954336305,17062.590954336305,0.0,59.876286869182046,11.0,355,14499,suburban
DHL,30926,0.0,0.0,14775.4174568136,14775.4174568136,0.0,53.8021301528445,0.37,429,13519,rural
DHL,30938,0.0,0.0,14888.20103197316,14888.20103197316,0.0,153.22446344831192,10.53,355,12030,rural
DHL,30952,0.0,0.0,11029.332668750209,11029.332668750209,0.0,37.755537878390655,5.68,286,9709,suburban
DHL,30966,0.0,0.0,10564.896592403224,10564.896592403224,0.0,31.83238567652256,5.52,237,9182,rural
DHL,30974,0.0,0.0,7602.589230059956,7602.589230059956,0.0,53.82702268136371,1.4,244,6515,rural
DHL,30982,0.0,0.0,8026.683955967339,8026.683955967339,0.0,66.6831619829418,2.77,239,6551,rural
DHL,30989,0.0,0.0,8197.588934134921,8197.588934134921,0.0,43.13135688268341,5.72,271,6841,rural
DHL,31275,0.0,0.0,20490.51279819747,20490.51279819747,0.0,129.47251256919432,2.93,571,18743,suburban
DHL,31303,0.0,0.0,14494.326252546625,14494.326252546625,0.0,112.90680951768702,1.84,468,12605,rural
DHL,31311,0.0,0.0,10485.698502104207,10485.698502104207,0.0,139.34872865781722,3.81,380,8577,rural
DHL,31319,0.0,0.0,12204.762656945873,12204.762656945873,0.0,101.18549289373648,0.58,411,10967,rural
DHL,31515,0.0,0.0,21088.897809861297,21088.897809861297,0.0,125.1818077488354,5.28,537,19286,rural
DHL,31535,0.0,0.0,22512.716761824166,22512.716761824166,0.0,357.6158854957556,5.5,880,18533,rural
DHL,31832,0.0,0.0,14457.781202836444,14457.781202836444,0.0,159.3824695169613,4.65,515,11902,rural
Amazon,30159,0.0,0.0,11555.196270293998,11555.196270293998,0.0,6.211813374113814,13.81,221,9019,urban
Amazon,30161,0.0,0.0,6224.7449789257325,6224.7449789257325,0.0,1.7979843382791898,12.74,83,4512,urban
Amazon,30163,0.0,0.0,5889.0064831046275,5889.0064831046275,0.0,2.603733329707664,12.41,93,4469,urban
Amazon,30165,0.0,0.0,4750.233821598029,4750.233821598029,0.0,4.951012974183712,10.52,92,3574,urban
Amazon,30167,0.0,0.0,7175.254343343608,7175.254343343608,0.0,5.368928981069905,10.65,139,5730,urban
Amazon,30173,0.0,0.0,5164.654397653723,5164.654397653723,0.0,4.775461708125837,15.11,87,3759,urban
Amazon,30177,0.0,0.0,4343.242376782357,4343.242376782357,0.0,3.576189607493106,13.99,79,2906,urban
Amazon,30179,0.0,0.0,4390.652005410074,4390.652005410074,0.0,8.305970462175056,12.08,95,2781,suburban
Amazon,30419,0.0,0.0,8519.368501277868,8519.368501277868,0.0,23.77191867081394,6.74,265,6859,suburban
