penalty,share_willing,provider,day,n_plz,n_routes,distance_km,vroom_cost_eur,parcels,parcels_per_route,km_per_route,km_per_parcel,eur_per_parcel
0.25,1.0,Hermes,0,25,96,4914.259,27629.739999999998,19649,204.67708333333334,51.19019791666667,0.25010224438902745,1.406165199246781
0.25,1.0,Hermes,1,23,96,4831.459,27430.19,19928,207.58333333333334,50.327697916666665,0.24244575471698113,1.3764647731834605
0.25,1.0,Hermes,2,24,97,5220.86,28120.85,20650,212.88659793814432,53.82329896907216,0.25282615012106535,1.3617845036319611
0.25,1.0,Hermes,3,14,99,4865.105,27734.260000000002,21488,217.05050505050505,49.14247474747474,0.22641032204020847,1.2906859642591215
0.25,1.0,Hermes,4,22,97,4970.876,27500.81,20649,212.8762886597938,51.24614432989691,0.24073204513535765,1.3318228485640953
0.25,1.0,Hermes,5,22,96,4907.204,27645.06,19862,206.89583333333334,51.11670833333333,0.24706494814218102,1.3918568120028194
0.25,1.0,UPS,0,25,90,4706.769,25496.22,18411,204.56666666666666,52.29743333333334,0.2556498289066319,1.3848362392048232
0.25,1.0,UPS,1,17,93,3816.137,24442.25,19816,213.0752688172043,41.0337311827957,0.19257857287040775,1.2334603350827613
0.25,1.0,UPS,2,19,94,3931.565,24961.42,19879,211.4787234042553,41.82515957446809,0.19777478746415816,1.2556677901302882
0.25,1.0,UPS,3,16,91,4818.5,25508.760000000002,19663,216.07692307692307,52.95054945054945,0.2450541626404923,1.2972974622387226
0.25,1.0,UPS,4,18,90,4230.771,24211.36,19198,213.3111111111111,47.00856666666667,0.22037561204292114,1.2611397020522972
0.25,1.0,UPS,5,18,91,3523.69,23883.49,18682,205.2967032967033,38.721868131868135,0.18861417407129857,1.2784225457659781
0.5,1.0,Amazon,0,41,178,9459.845,51345.76,36259,203.70224719101122,53.14519662921348,0.2608964670840343,1.4160831793485755
0.5,1.0,Amazon,1,37,182,10678.983,52885.25,37792,207.64835164835165,58.67573076923077,0.2825725814987299,1.3993768522438612
0.5,1.0,Amazon,2,34,182,9369.332,51119.4,39145,215.08241758241758,51.479846153846154,0.2393493932813897,1.3058985821944054
0.5,1.0,Amazon,3,29,182,9586.684000000001,51334.44,39082,214.73626373626374,52.67408791208792,0.2452966583081726,1.3135059618238576
0.5,1.0,Amazon,4,32,182,9917.030999999999,51226.01,38204,209.9120879120879,54.48918131868131,0.2595809601088891,1.3408546225526123
0.5,1.0,Amazon,5,40,179,10209.221,52141.46,37195,207.79329608938548,57.03475418994413,0.27447831697808844,1.401840569969082
0.5,1.0,DHL,0,48,394,7799.661,92261.11,85558,217.1522842639594,19.79609390862944,0.09116226419504897,1.0783458005095958
0.5,1.0,DHL,1,48,419,8137.814,97545.81999999999,90894,216.9307875894988,19.421990453460623,0.08953081611547517,1.0731821682399278
0.5,1.0,DHL,2,48,467,8662.293,107551.9,101634,217.63169164882228,18.548807280513916,0.08523026743019069,1.0582275616427572
0.5,1.0,DHL,3,48,442,8384.676,102352.59,96305,217.8846153846154,18.969855203619908,0.08706376615959711,1.062796220341623
0.5,1.0,DHL,4,48,374,7506.412,87958.85,80161,214.3342245989305,20.070620320855614,0.09364169608662568,1.097277354324422
0.5,1.0,DHL,5,48,292,6426.462,70550.07,61482,210.55479452054794,22.008431506849316,0.1045259100224456,1.14749146091539
0.5,1.0,DPD,0,27,83,5466.621,25033.89,16598,199.97590361445782,65.86290361445784,0.32935419930112064,1.5082473792023134
0.5,1.0,DPD,1,29,85,5295.32,25248.93,17054,200.63529411764705,62.29788235294117,0.310503107775302,1.480528321801337
0.5,1.0,DPD,2,21,83,5508.397,24621.91,16796,202.36144578313252,66.36622891566265,0.3279588592522029,1.4659389140271493
0.5,1.0,DPD,3,21,85,5503.428,25024.63,17591,206.95294117647057,64.74621176470588,0.31285475527258255,1.4225814336876812
