provider,plz,weekly_parcels,schedule_size,weekly_cost,cost_per_parcel
Amazon,30916,6164,6,9855.54253932914,1.5988874982688417
Amazon,30926,6338,2,6794.244528796124,1.0719855678125787
Amazon,30926,6338,3,7259.705894765206,1.1454253541756398
Amazon,30926,6338,4,7609.808122308777,1.2006639511373898
Amazon,30926,6338,5,8086.932179449709,1.2759438591747727
Amazon,30926,6338,6,8662.306894601126,1.3667256065953182
Amazon,30938,5072,2,6972.703463275314,1.374744373674155
Amazon,30938,5072,3,7301.9118800090955,1.439651395900847
Amazon,30938,5072,4,7655.707554869898,1.5094060636573141
Amazon,30938,5072,5,8283.67726708929,1.6332171267920523
Amazon,30938,5072,6,8904.621903543628,1.7556431197838382
Amazon,30952,4476,2,5537.12838406811,1.2370706845549844
Amazon,30952,4476,3,5780.344252086272,1.2914084566770043
Amazon,30952,4476,4,6255.606692782214,1.3975886266269468
Amazon,30952,4476,5,6521.679625005808,1.4570329814579552
Amazon,30952,4476,6,6996.942065701751,1.563213151407898
Amazon,30966,4221,2,5288.310367757343,1.2528572299827867
Amazon,30966,4221,3,5530.961912843733,1.3103439736658928
Amazon,30966,4221,4,5995.1530067339345,1.4203158035380086
Amazon,30966,4221,5,6486.28444076326,1.536670087837778
Amazon,30966,4221,6,6958.9314253511775,1.6486452085646002
Amazon,30974,2971,2,4068.969230617839,1.3695621779258966
Amazon,30974,2971,3,4290.243916598465,1.4440403623690559
Amazon,30974,2971,4,4591.932356396535,1.5455847715908904
Amazon,30974,2971,5,4935.564116153506,1.6612467573724354
Amazon,30974,2971,6,5404.421973123484,1.8190582205060533
Amazon,30982,3044,2,4260.061054368502,1.3994944331039756
Amazon,30982,3044,3,4528.126280600676,1.487557910841221
Amazon,30982,3044,4,4919.745154860328,1.6162106290605545
Amazon,30982,3044,5,5457.832608177401,1.7929804888887653
Amazon,30982,3044,6,5998.71939613078,1.970669972447694
Amazon,30989,3112,2,4098.895006818763,1.3171256448646411
Amazon,30989,3112,3,4099.7310454943145,1.317394294824651
Amazon,30989,3112,4,4536.645522976418,1.4577909778201856
Amazon,30989,3112,5,4978.848404263207,1.5998870193647838
Amazon,30989,3112,6,5457.103818087936,1.7535680649382828
Amazon,31275,8588,2,11275.258454571578,1.3129085298755914
Amazon,31275,8588,3,11838.840679019682,1.3785329155821708
Amazon,31275,8588,4,12538.17639266202,1.4599646474920844
Amazon,31275,8588,5,13200.193623653075,1.5370509575748805
Amazon,31275,8588,6,13943.98706667291,1.6236594162404412
Amazon,31303,5793,2,7971.252353481397,1.3760145612776449
Amazon,31303,5793,3,8419.825646778478,1.4534482386981664
Amazon,31303,5793,4,8947.868847768372,1.5446001808680083
Amazon,31303,5793,5,9610.842910829213,1.659044175872469
Amazon,31303,5793,6,10287.327305379691,1.7758203530777992
Amazon,31311,3965,2,6018.266797767092,1.5178478682893044
