penalty_eur_per_day,provider,plz,schedule_size,base_cost_eur,wait_days_avg,weekly_parcels,penalty_cost_eur,combined_cost_eur
0.0,DPD,30657,4,3236.827287178435,0.33815648445873525,1866,0.0,3236.827287178435
0.0,DPD,30659,4,2481.727320539071,0.5292397660818714,1368,0.0,2481.727320539071
0.0,DPD,30823,4,3674.7572762541818,0.3326191751472951,1867,0.0,3674.7572762541818
0.0,DPD,30826,3,3777.101743258057,0.6058572300183038,1639,0.0,3777.101743258057
0.0,DPD,30827,2,3268.7452878258887,0.9119300437226733,1601,0.0,3268.7452878258887
0.0,DPD,30851,4,2356.2410275243597,0.5456674473067916,1281,0.0,2356.2410275243597
0.0,DPD,30853,3,2858.814614001705,0.673469387755102,1470,0.0,2858.814614001705
0.0,DPD,30855,2,9015.291369277431,0.9722555488902219,6668,0.0,9015.291369277431
0.0,DPD,30880,3,5196.857344758825,0.4550231839258114,3235,0.0,5196.857344758825
0.0,DPD,30890,2,5793.58639378743,0.9075568598679383,2726,0.0,5793.58639378743
0.0,DPD,30900,2,6120.29360166033,0.9225079253258189,2839,0.0,6120.29360166033
0.0,DPD,30916,3,4855.4748416067505,0.5607412491420728,2914,0.0,4855.4748416067505
0.0,DPD,30926,2,5197.516624399751,0.9233978005309064,2637,0.0,5197.516624399751
0.0,DPD,30938,3,4782.009980255639,0.5613598673300166,2412,0.0,4782.009980255639
0.0,DPD,30952,3,4027.5454106430866,0.5567282321899736,1895,0.0,4027.5454106430866
0.0,DPD,30966,3,3789.060932176845,0.4504703929164361,1807,0.0,3789.060932176845
0.0,DPD,30974,3,3379.1766137167624,0.6375,1280,0.0,3379.1766137167624
0.0,DPD,30982,3,3265.49802241405,0.6658841940532081,1278,0.0,3265.49802241405
0.0,DPD,30989,2,3405.09609992402,0.9070796460176991,1356,0.0,3405.09609992402
0.0,DPD,31275,2,5571.695539608355,0.9588251441119956,3643,0.0,5571.695539608355
0.0,DPD,31303,2,4500.770405064703,0.9678843837816138,2491,0.0,4500.770405064703
0.0,DPD,31311,2,4059.4629772902085,0.8878787878787879,1650,0.0,4059.4629772902085
0.0,DPD,31319,2,3960.52370058195,0.9768321513002364,2115,0.0,3960.52370058195
0.0,DPD,31515,2,7170.994265424222,0.9693074501573977,3812,0.0,7170.994265424222
0.0,DPD,31535,2,8000.282794704612,0.9335566722501396,3582,0.0,8000.282794704612
0.0,DPD,31832,3,5678.16438185735,0.49155478562148114,2309,0.0,5678.16438185735
0.0,FedEx,30159,2,11427.614727419164,0.970904298459043,9864,0.0,11427.614727419164
0.0,FedEx,30161,4,4873.712252906669,0.5278215223097112,3810,0.0,4873.712252906669
0.0,FedEx,30163,2,7394.770406628852,0.9809983896940419,6210,0.0,7394.770406628852
0.0,FedEx,30167,4,4906.546085334359,0.5475496688741722,3775,0.0,4906.546085334359
0.0,FedEx,30419,3,3011.4371555416806,0.6968987712112347,1709,0.0,3011.4371555416806
0.0,FedEx,30449,6,5070.480072832069,0.0,3703,0.0,5070.480072832069
0.0,FedEx,30453,2,3064.816163063924,0.9307387862796834,1516,0.0,3064.816163063924
0.0,FedEx,30455,4,1868.2392924617652,0.3349673202614379,612,0.0,1868.2392924617652
0.0,FedEx,30457,5,1985.518844528548,0.10282776349614396,778,0.0,1985.518844528548
