penalty,share_willing,provider,hub,day,fleet_before,fleet_after
0.0,0.1,Amazon,Amazon Logistics HAJ8 in Garbsen,3,209.0,209.0
0.0,0.1,Amazon,Amazon Logistics HAJ8 in Garbsen,4,174.0,174.0
0.0,0.1,Amazon,Amazon Logistics HAJ8 in Garbsen,5,138.0,140.0
0.0,0.1,DPD,DPD Paketzentrum in Lehrte,0,92.0,95.0
0.0,0.1,DPD,DPD Paketzentrum in Lehrte,1,98.0,98.0
0.0,0.1,DPD,DPD Paketzentrum in Lehrte,2,115.0,109.0
0.0,0.1,DPD,DPD Paketzentrum in Lehrte,3,104.0,109.0
0.0,0.1,DPD,DPD Paketzentrum in Lehrte,4,88.0,89.0
0.0,0.1,DPD,DPD Paketzentrum in Lehrte,5,74.0,85.0
0.0,0.1,FedEx,FedEx Station - Heinz-Peter-Piper Str.,0,88.0,83.0
0.0,0.1,FedEx,FedEx Station - Heinz-Peter-Piper Str.,1,86.0,89.0
0.0,0.1,FedEx,FedEx Station - Heinz-Peter-Piper Str.,2,97.0,89.0
0.0,0.1,FedEx,FedEx Station - Heinz-Peter-Piper Str.,3,88.0,88.0
0.0,0.1,FedEx,FedEx Station - Heinz-Peter-Piper Str.,4,84.0,82.0
0.0,0.1,FedEx,FedEx Station - Heinz-Peter-Piper Str.,5,60.0,82.0
0.0,0.1,GLS,GLS in Hannover Laatzen,0,79.0,80.0
0.0,0.1,GLS,GLS in Hannover Laatzen,1,80.0,81.0
0.0,0.1,GLS,GLS in Hannover Laatzen,2,95.0,92.0
0.0,0.1,GLS,GLS in Hannover Laatzen,3,87.0,88.0
0.0,0.1,GLS,GLS in Hannover Laatzen,4,76.0,75.0
0.0,0.1,GLS,GLS in Hannover Laatzen,5,65.0,71.0
0.0,0.1,Hermes,Hermes LC Hannover Langenhagen,0,116.0,116.0
0.0,0.1,Hermes,Hermes LC Hannover Langenhagen,1,119.0,120.0
0.0,0.1,Hermes,Hermes LC Hannover Langenhagen,2,126.0,126.0
0.0,0.1,Hermes,Hermes LC Hannover Langenhagen,3,123.0,123.0
0.0,0.1,Hermes,Hermes LC Hannover Langenhagen,4,111.0,111.0
0.0,0.1,Hermes,Hermes LC Hannover Langenhagen,5,81.0,85.0
0.0,0.1,UPS,UPS Depot Hannover,0,103.0,96.0
0.0,0.1,UPS,UPS Depot Hannover,1,100.0,106.0
0.0,0.1,UPS,UPS Depot Hannover,2,114.0,108.0
