penalty,share_willing,provider,system_smooth_swaps,system_smoothed_cost_eur,cost_pre_smoothing,provider_spread_before,provider_spread_after
0.5,0.5,DPD,0,175071.6421054208,175071.6421054208,8.0,8.0
0.5,0.5,FedEx,0,143617.64627398027,143617.64627398027,1.0,1.0
0.5,0.5,GLS,0,156783.46970378613,156783.46970378613,3.0,3.0
0.5,0.5,Hermes,0,204388.86616330573,204388.86616330573,12.0,12.0
0.5,0.5,UPS,0,167805.6530434378,167805.6530434378,10.0,10.0
0.5,0.6,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.5,0.6,Amazon,0,335793.17239913164,335793.17239913164,11.0,11.0
0.5,0.6,DPD,0,172425.63724544074,172425.63724544074,8.0,8.0
0.5,0.6,FedEx,0,140411.15096575528,140411.15096575528,2.0,2.0
0.5,0.6,GLS,0,153248.7091654464,153248.7091654464,4.0,4.0
0.5,0.6,Hermes,0,200523.6374567686,200523.6374567686,5.0,5.0
0.5,0.6,UPS,0,167227.75500079893,167227.75500079893,3.0,3.0
0.5,0.7,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.5,0.7,Amazon,0,331122.21731080743,331122.21731080743,2.0,2.0
0.5,0.7,DPD,0,172462.64830542548,172462.64830542548,2.0,2.0
0.5,0.7,FedEx,0,137351.4906267449,137351.4906267449,6.0,6.0
0.5,0.7,GLS,0,152637.6441793694,152637.6441793694,3.0,3.0
0.5,0.7,Hermes,0,197985.8575838689,197985.8575838689,2.0,2.0
0.5,0.7,UPS,0,167068.5027246685,167068.5027246685,12.0,12.0
0.5,0.8,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.5,0.8,Amazon,0,331638.6193229338,331638.6193229338,3.0,3.0
0.5,0.8,DPD,0,168166.01296398946,168166.01296398946,11.0,11.0
0.5,0.8,FedEx,0,138866.9623853376,138866.9623853376,2.0,2.0
0.5,0.8,GLS,0,149595.02664814852,149595.02664814852,5.0,5.0
0.5,0.8,Hermes,0,196422.88705965184,196422.88705965184,2.0,2.0
0.5,0.8,UPS,0,168227.86431399616,168227.86431399616,6.0,6.0
0.5,0.9,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.5,0.9,Amazon,0,327224.7581847128,327224.7581847128,2.0,2.0
0.5,0.9,DPD,0,166340.8990241894,166340.8990241894,1.0,1.0
0.5,0.9,FedEx,0,138753.28279763364,138753.28279763364,1.0,1.0
0.5,0.9,GLS,0,142925.15513204166,142925.15513204166,5.0,5.0
0.5,0.9,Hermes,0,189909.77292145847,189909.77292145847,2.0,2.0
0.5,0.9,UPS,0,166336.31547468377,166336.31547468377,4.0,4.0
0.5,1.0,DHL,0,563775.2206035123,563775.2206035123,175.0,175.0
0.5,1.0,Amazon,0,318508.06891220924,318508.06891220924,5.0,5.0
0.5,1.0,DPD,0,155116.59675631384,155116.59675631384,2.0,2.0
0.5,1.0,FedEx,0,134976.89243709602,134976.89243709602,9.0,9.0
0.5,1.0,GLS,0,134828.40256939887,134828.40256939887,1.0,1.0
